S Trang	Stt thoi	Dch	Ph Ch
		a em gai tm nng trn bin	
			
		Chung ta lam c ri Kyoukasan	
		ng mng vi	
		Vn con nhng tn Li Thn	

		Bin mt ri	
		Cai hang nay sp sp ri	
		La do a ta sao	
		Chung  ta se em nhng ngi bi thng i	
		Ro	
		Ta khng ng y	
		mt cuc chin ap ao hoan toan	
		Tn o	
		tht thu vi	
			
		Neechan vt thng cua chi thi sao	
		ng lo lng no se phuc hi nhanh thi	
		Chi khng ng	
		Kidoumaru lai nguy him n vy	
		Hn ta la tn a gy ra nhiu tn tht nng n  th gii cu ging nh kuma vy	
		Nhc mi nh tn o u ri bi thi bay i mt ri sao	
		Tenkasan tai sao chi lai quay lai	
		y la cuc hop mt gia inh nn tt nhin chi phai  y ri	
		Khng cn phai lo lng v nhng ngi khac u Qun tip vin ang  ngoai hang ng ri	
		Ti hiu ri	
		Nhng ma	
		Nhng ngi  bn ngoai khng th giao tip hay nhin vao bn trong c Nn chung ta khng th noi chuyn ma khng trc tip mt i mt	
		Aoba	
		Liu c vn se phat ng mt cuc bao loan	
		Ti chng con co th thc hin no na ri	
		Toan b Su Quy d tr a cht ht	
		Hn na Koko va Naon a bi bt i	
		Ti phai	
		i giai cu hai ngi ho	
		Nu c khng con y inh bao loan thi ti cung se chng can ng c na Ti se tin li c chi cua Yuuki	
		Em cung th va em cung mun giup chi na	
		Neechan Chi co th nhn c s giup  cua qun oan chng quy	
		Chi co th tin tng vao Tenka va Kyouka	
		Nhng chi khng tin tng vao t chc o	
		Nhng chi se sng nh th nao t by gi	
		Vn con mt s ngi lang n xung quanh va nhng ngi khac cung a di tan xong ht ri	
		Chi se chm soc ho	
			
		Nu chi vn con ch  n nau thi vic khng cn s tr giup cua chung ta la co th hiu c	
		Hm	
		Cung nhn ra t chc minh lam co gi o bt thng sao	
		Chi da vao phng phap a ra gia thuyt thi	
		Tng t lnh Yamashiro ung khng	
		ung vy	
		y cua hai ngi la	
		Tng chi huy cua qun oan chng quy la mt ngi ai quc cc oan C ta thinh thoang rt ang s	
		C ta la ngi se hy sinh thiu s nu no co li cho t nc	
		nu nhng gi chi nhanh Onmyou lam la s thc thi rt co kha nng c ta cung se co lin quan n chuyn nay	
		Nu vao mt tinh th quyt inh	
		Em khng th xung tay vi chi	
		Nhng c ta thi co	
		Em khng noi o la mt iu tt hay xu C ta chi n gian la mt ngi nh vy	
		Nu chi mun nhn s chung  cua t chc chung em se c ht sc  bao v chi nhng nu nhin su vao vn  La chon n nau la mt quyt inh an toan hn Va may mn thay nhng gi chung ta noi  y ngi bn ngoai khng th nghe thy c	
		Ti cung se u tra v chi nhanh Onmyou	
		Nu vy thi Neechan va nhng ngi khac	
		Se phai trn n bao gi	
		Khng phai a ro rang ri sao Yuuki Chung ta chi cn lam nhng gi ti noi luc trc tr thanh s tht thi	
		Hm	
		Ti se tr thanh Tng T Lnh	
		Ho chi cn n nau cho ti cuc bu chon tng t lnh ti	
		Nhng ngi  o ang c gng khin Ma  tr thanh mt ngun cung cho t nc nn y la nhng gi se say ra	
		Ti se thay i hng i cua qun oan chng quy	
		Tt ca Su Quy se bi tiu dit	
		Chung ta se bao v Aoba va nhng ngi ban nhn va tin hanh nguyn cu thuc cha ma khng cn nhng cuc thi nghim tan bao	
		Nghe th nao	
		Nu c lam c	
		Thi ti se vui long nhn s tr giup cua c ma khng lo lng gi	
		Neechan	
		ma chung ta cn phai lam gi  co th c chon tr thanh tng t lnh	
		Chung ta se cn cac thanh tinh ni tri	
		anh bai Su Quy la mt vi du Chung ta cung co th ha guc Bat Li Thn  nhn danh hiu	
		Nu vy 	
		Minh cung se co ich	
		Mt cuc rung lc na	
		Chung ta sp ht thi gian ri	
		Ti se i ra ngoai bng ca sau	
		Yuuki	
		Ch s theo di em t xa	
		Neechan	
		Em	
		Chc chn s	
		Tm mi cch	
		 gip ch	flag
		Thng nhc ny  ln ti vy ri c 	
		Mt triu t t im lun	
		Ti lun ngh rng	
		Ti chin u v ti mun tr thnh mt anh hng	
		nhng iu   ht ri	
		Cu ly ch ti	
		l l do m ti chin u	Khc ny th bc edit b lun phn that is  pha trn nha thy hi tha
		Quyt tm ca cu y  eo nhng si xch ny	
		Chap tip theo s ra mt vo ngy 	Bc edit mun cho chap ny ra mt ngy ny th ghi vo y
